iso_timestamp,london_date,london_time,subject,key_stage,specification,lesson_title,output_type,file_name,display_mode,parser_version
2026-06-08T17:40:00,2026-06-08,17:40,"Computer Science","KS4","OCR J277","test_lesson","PowerPoint","test_lesson.pptx","HMGToday","v73"
2026-06-08T17:39:53.660Z,2026-06-08,18:39:53,"Computer Science","KS4","OCR J277 1.4.2","Data Storage Units (OCR J277 1.4.2)","PowerPoint","J277_1.4.2_Data_Storage_Units.pptx","default","v73-hmgtoday-display-mode-lesson-log"
2026-06-08T17:51:01.743Z,2026-06-08,18:51:01,"Psychology","KS5","AQA 7182 3.1.3 Attachment","Animal Studies of Attachment (AQA 7182 3.1.3 Attachment)","PowerPoint","7182_3.1.3_Animal_Studies_of_Attachment.pptx","default","v73-hmgtoday-display-mode-lesson-log"
2026-06-09T09:44:01.395Z,2026-06-09,10:44:01,"Computer Science","KS4","OCR J277 2.6 Data Representation","Bitmap Images (OCR J277 2.6 Data Representation)","PowerPoint","J277_2.6_Bitmap_Images.pptx","default","v73-hmgtoday-display-mode-lesson-log"
2026-06-09T17:36:34.109Z,2026-06-09,18:36:34,"","","OCR J829 R180","Intrinsic and Extrinsic Risk Factors (OCR J829 R180)","PowerPoint","Intrinsic_and_Extrinsic_Risk_Factors_.pptx","default","v73-hmgtoday-display-mode-lesson-log"
2026-06-10T11:40:47.355Z,2026-06-10,12:40:47,"","","","Barriers to Participation in Sport and How to Overcome Them","PowerPoint","Barriers_to_Participation_in_Sport_and_How_to_Overcome_Them.pptx","default","v73-hmgtoday-display-mode-lesson-log"
2026-06-11T07:10:14.505Z,2026-06-11,08:10:14,"","","AQA Combined Science P3","Revision: Particle Model of Matter (AQA Combined Science P3)","PowerPoint","Revision-_Particle_Model_of_Matter_.pptx","default","v73-hmgtoday-display-mode-lesson-log"
2026-06-11T09:07:00.990Z,2026-06-11,10:07:00,"","","","Task 2: Protective equipment and clothing","PowerPoint","https---synergymat-my.sharepoint.com-personal-esayer_reephamhigh_org_uk-_layouts-15-Doc.aspx-sourcedoc=%7BE1215AF2-9E9E-42F3-AC40-BE823796BD8C%7D&file=Improved_OAA_Presentation.pptx&action=edit&mobileredirect=true.pptx","default","v73-hmgtoday-display-mode-lesson-log"
2026-06-11T09:08:29.885Z,2026-06-11,10:08:29,"","","","Barriers to Participation in Sport and How to Overcome Them","PowerPoint","Barriers_to_Participation_in_Sport_and_How_to_Overcome_Them.pptx","default","v73-hmgtoday-display-mode-lesson-log"
2026-06-11T09:09:33.142Z,2026-06-11,10:09:33,"","","","Task 2: protective clothing and equipment","PowerPoint","https---synergymat-my.sharepoint.com-personal-esayer_reephamhigh_org_uk-_layouts-15-Doc.aspx-sourcedoc=%7BE1215AF2-9E9E-42F3-AC40-BE823796BD8C%7D&file=Improved_OAA_Presentation.pptx&action=edit&mobileredirect=true.pptx","default","v73-hmgtoday-display-mode-lesson-log"
2026-06-11T11:13:55.588Z,2026-06-11,12:13:55,"","","","Crowns, Thrones and Power: King Charles III vs Tsar Nicholas II","PowerPoint","Crowns,_Thrones_and_Power-_King_Charles_III_vs_Tsar_Nicholas_II.pptx","default","v73-hmgtoday-display-mode-lesson-log"
2026-06-12T12:01:47.883Z,2026-06-12,13:01:47,"Computer Science","KS4","J277 2.6 Data representation – Binary Arithmetic","Binary Addition (J277 2.6 Data representation – Binary Arithmetic)","PowerPoint","J277_2.6_Binary_Addition.pptx","default","v73-hmgtoday-display-mode-lesson-log"
2026-06-12T17:10:41.036Z,2026-06-12,18:10:41,"","","","Introduction to Balanced Diet","PowerPoint","Introduction_to_Balanced_Diet.pptx","default","v73-hmgtoday-display-mode-lesson-log"
2026-06-12T17:12:15.898Z,2026-06-12,18:12:15,"","","","Crowns, Thrones and Power: King Charles III vs Tsar Nicholas II","PowerPoint","Crowns,_Thrones_and_Power-_King_Charles_III_vs_Tsar_Nicholas_II.pptx","default","v73-hmgtoday-display-mode-lesson-log"
2026-06-13T07:19:30.912Z,2026-06-13,08:19:30,"","","Small Basic","Sequences (Small Basic)","PowerPoint","Sequences_.pptx","default","v73-hmgtoday-display-mode-lesson-log"
2026-06-13T14:14:53.235Z,2026-06-13,15:14:53,"","","","Crowns, Thrones and Power: King Charles III vs Tsar Nicholas II","PowerPoint","Crowns,_Thrones_and_Power-_King_Charles_III_vs_Tsar_Nicholas_II.pptx","english","v74-english-dept-display-mode"
2026-06-15T09:47:35.440Z,2026-06-15,10:47:35,"","","1.1.3 Systems Architecture","Embedded Systems (1.1.3 Systems Architecture)","PowerPoint","Embedded_Systems_.pptx","default","v73-hmgtoday-display-mode-lesson-log"
2026-06-15T14:23:18.351Z,2026-06-15,15:23:18,"","","Crime & Punishment Paper 1","Role of H Division in Whitechapel (Crime & Punishment Paper 1)","PowerPoint","Role_of_H_Division_in_Whitechapel_.pptx","default","v73-hmgtoday-display-mode-lesson-log"
2026-06-15T14:47:18.302Z,2026-06-15,15:47:18,"","","A Level Politics","Introduction to Socialism (A Level Politics)","PowerPoint","Introduction_to_Socialism_.pptx","default","v73-hmgtoday-display-mode-lesson-log"
2026-06-15T14:50:23.174Z,2026-06-15,15:50:23,"","","Edexcel Paper 2: Superpower Relations and the Cold War 1941–91","The Grand Alliance (Edexcel Paper 2: Superpower Relations and the Cold War 1941–91)","PowerPoint","The_Grand_Alliance_.pptx","default","v73-hmgtoday-display-mode-lesson-log"
2026-06-15T14:55:28.349Z,2026-06-15,15:55:28,"Computer Science","KS4","J277 1.2 Memory and Storage","Data Storage (J277 1.2 Memory and Storage)","PowerPoint","J277_1.2_Data_Storage.pptx","default","v73-hmgtoday-display-mode-lesson-log"
2026-06-15T14:56:02.588Z,2026-06-15,15:56:02,"","","Vietnam Setting","Macro Description – Creative Writing (Vietnam Setting)","PowerPoint","Macro_Description_–_Creative_Writing_.pptx","default","v73-hmgtoday-display-mode-lesson-log"
2026-06-15T14:57:23.758Z,2026-06-15,15:57:23,"","","a = 1","Using the Quadratic Formula to Solve Quadratics (a = 1)","PowerPoint","Using_the_Quadratic_Formula_to_Solve_Quadratics_.pptx","default","v73-hmgtoday-display-mode-lesson-log"
2026-06-15T14:58:52.884Z,2026-06-15,15:58:52,"","","","The Roles and Responsibilities of Parents","PowerPoint","The_Roles_and_Responsibilities_of_Parents.pptx","default","v73-hmgtoday-display-mode-lesson-log"
2026-06-15T15:00:22.067Z,2026-06-15,16:00:22,"","","Vietnam Setting","Micro Description – Creative Writing (Vietnam Setting)","PowerPoint","Micro_Description_–_Creative_Writing_.pptx","default","v73-hmgtoday-display-mode-lesson-log"
2026-06-15T15:01:41.174Z,2026-06-15,16:01:41,"","","","Constructing Loci","PowerPoint","Constructing_Loci.pptx","default","v73-hmgtoday-display-mode-lesson-log"
2026-06-15T15:03:37.290Z,2026-06-15,16:03:37,"","","Unit 4 Travel and Tourism","Une mauvaise expérience au restaurant (Unit 4 Travel and Tourism)","Student Webpage","Une_mauvaise_expérience_au_restaurant__student_catch_up.html","default","v73-hmgtoday-display-mode-lesson-log"
2026-06-15T15:03:58.859Z,2026-06-15,16:03:58,"","","Edexcel GCSE PE 1.1.1 Skeletal and Muscular Systems","Names and Locations of Muscles (Edexcel GCSE PE 1.1.1 Skeletal and Muscular Systems)","PowerPoint","Names_and_Locations_of_Muscles_.pptx","default","v73-hmgtoday-display-mode-lesson-log"
2026-06-15T15:05:15.049Z,2026-06-15,16:05:15,"","","","Natural and Manmade Timbers – Origins, Processes and Sustainability","PowerPoint","Natural_and_Manmade_Timbers_–_Origins,_Processes_and_Sustainability.pptx","default","v73-hmgtoday-display-mode-lesson-log"
